psychotherapy	paɪʧoʊθəreɪpaɪ	<ˌsaɪkoʊˈθɛrəpi>
squatting	skwɑttɪŋ	<skˈwɑtɪŋ>
flavor	flɑvɔr	<ˈfleɪvər>
overlay	oʊvərleɪ	<ˈoʊvərˌleɪ>
mutated	mutætɛd	<mˈjuˌteɪtɪd>
accrue	ækkru	<əˈkru>
paraffin	pɑræffɪn	<ˈpɛrəfən>
ephedrine	ifɛdraɪn	<ɪˈfɛdrɪn>
correspondingly	kɔrrispɑndɪŋlaɪ	<ˌkɔrəˈspɑndɪŋli>
outgrowth	aʊtgroʊθ	<ˈaʊtˌgroʊθ>
pumice	pəmaɪs	<ˈpəməs>
hacienda	hækaɪɛndɑ	<ˌhæsiˈɛndə>
heartbreaking	hɑrtbrikɪŋ	<ˈhɑrtˌbreɪkɪŋ>
podium	poʊdaɪəm	<ˈpoʊdiəm>
upholding	əphoʊldɪŋ	<əˈphoʊldɪŋ>
withstand	wɪθstænd	<wɪθˈstænd>
dismissal	dɪsmɪsæl	<dɪsˈmɪsəl>
fussy	fəsjaɪ	<ˈfəsi>
telecommunications	tɛlikɑmmunikɑtaɪnz	<ˌtɛləkəmˌjunəˈkeɪʃənz>
guile	gaɪl	<gaɪl>
noon	nun	<nun>
afloat	eɪfloʊt	<əˈfloʊt>
prohibit	proʊhɪbɪt	<proʊˈhɪbət>
fusion	fusɪn	<fˈjuʒən>
org	ɔrg	<ɔrg>
scribe	skraɪb	<skraɪb>
barrow	bɑrroʊ	<ˈbɛroʊ>
substance	səbstæns	<ˈsəbstəns>
counterclockwise	kaʊntərklɑkwaɪz	<ˌkaʊnərˈklɔkwaɪz>
propellant	proʊpɛllænt	<prəˈpɛlənt>
consolation	kɑnsoʊlɑtaɪn	<ˌkɑnsəˈleɪʃən>
respective	rispɛktaɪv	<rɪˈspɛktɪv>
must	məst	<məst>
wept	wɛpt	<wɛpt>
glamorous	glæməraʊz	<ˈglæmərəs>
chin	ʧɪn	<ʧɪn>
finalized	faɪnɑlaɪzd	<ˈfaɪnəˌlaɪzd>
biff	bɪf	<bɪf>
knitter	nɪttər	<ˈnɪtər>
canister	kænɪstər	<ˈkænɪstər>
fasten	fæstɛn	<ˈfæsən>
guacamole	goʊkɑmoʊli	<gˌwɑkəˈmoʊli>
centrifugal	sɛntrɪfugæl	<ˈsɛntrɪfˌjugəl>
sleeveless	slivlɛs	<sˈlivlɪs>
divestiture	daɪvɛstaɪtʊr	<dɪˈvɛstɪʧər>
infallible	ɪnfællaɪbli	<ˌɪnˈfæləbəl>
allege	ælliʤ	<əˈlɛʤ>
ability	eɪbɪlaɪtaɪ	<əˈbɪləˌti>
fiberglass	faɪbərglæs	<ˈfaɪbərˌglæs>
cheaply	ʧiplaɪ	<ˈʧipli>
hysterical	hɪstəraɪkæl	<hɪˈstɛrɪkəl>
tent	tɛnt	<tɛnt>
productively	proʊdəktaɪvlaɪ	<pərˈdəktɪvli>
elegantly	ɛligæntlaɪ	<ˈɛlɪgənˌtli>
brother	broʊθər	<ˈbrəðər>
confiscation	kɑnfɪskɑtaɪn	<ˌkɑnfəˈskeɪʃən>
maxima	mæksaɪmɑ	<ˈmæksəmə>
feline	filaɪn	<ˈfiˌlaɪn>
beneficially	bɛnifaɪkillaɪ	<ˌbɛnəˈfɪʃəli>
elevated	ɛlivætɛd	<ˈɛləˌveɪtɪd>
reflective	riflɛktaɪv	<rɪˈflɛktɪv>
unveiling	ənvilɪŋ	<ənˈveɪlɪŋ>
staying	steɪɪŋ	<steɪɪŋ>
philanthropist	faɪlænθroʊpɪst	<fɪˈlænθrəpɪst>
ask	æsk	<æsk>
indicating	ɪndaɪkætɪŋ	<ˈɪndəˌkeɪtɪŋ>
went	wɛnt	<wɛnt>
cystic	kɪstɪk	<ˈsɪstɪk>
jury	ʤuraɪ	<ˈʤʊri>
stock	stɑk	<stɑk>
memory	mɛmoʊraɪ	<ˈmɛməri>
buzz	bəz	<bəz>
bureaus	buriz	<ˈbjʊroʊz>
cemetery	sɛmitərjaɪ	<ˈsɛmɪˌtɛri>
exchequer	ɛksʧɛkjʊr	<ˈɛksˌʧɛkər>
aggregation	æggrigɑtaɪn	<ˌægrəˈgeɪʃən>
photocopier	foʊtoʊkɑpaɪər	<ˈfoʊtoʊˌkɑpiər>
active	æktaɪv	<ˈæktɪv>
decreasing	dikrizɪŋ	<ˈdiˌkrisɪŋ>
dainty	deɪntaɪ	<ˈdeɪnti>
rainforest	reɪnfɔrɛst	<ˈraɪnˌfɔrəst>
episcopal	ipɪskoʊpæl	<ɪˈpɪskəpəl>
superlative	supərlɑtaɪv	<sʊˈpərlətɪv>
policyholder	pɑlaɪkaɪhoʊldər	<ˈpɑləsiˌhoʊldər>
trample	træmpli	<ˈtræmpəl>
uncomfortable	ənkɑmfɔrteɪbli	<ənˈkəmfərtəbəl>
deceptively	disɛptaɪvlaɪ	<dɪˈsɛptɪvli>
waterman	wɑtərmæn	<ˈwɔtərmən>
undertaking	əndərtækɪŋ	<ˈəndərˌteɪkɪŋ>
cirrus	kɪrrəs	<ˈsɪrəs>
voluminous	voʊluminuz	<vəˈlumənəs>
stupid	stupɪd	<ˈstupɪd>
huge	hju	<juʤ>
golfer	gɔfər	<ˈgɑlfər>
splitter	spɪttər	<ˈsplɪtər>
prudential	prudɛntil	<pruˈdɛnʃəl>
discrepancy	dɪskrɛpænkaɪ	<dɪˈskrɛpənsi>
peeler	pilər	<ˈpilər>
cate	keɪt	<keɪt>
handgun	hændgən	<ˈhændˌgən>
parallelism	pɑrællɛlɪs	<ˈpɛrəˌlɛˌlɪzəm>
pains	peɪnz	<peɪnz>
reposition	ripoʊsitaɪn	<ˌripəˈzɪʃən>
drape	dreɪp	<dreɪp>
myopia	maɪoʊpaɪeɪ	<maɪˈoʊpiə>
misconduct	mɪskɑndəkt	<mɪˈskɑndəkt>
thoracic	ðoʊrækɪk	<θɔˈræsɪk>
shingle	ʃɪngli	<ˈʃɪŋgəl>
lido	laɪdoʊ	<ˈlidoʊ>
dura	durɑ	<ˈdʊrə>
wally	wɑllaɪ	<ˈwɔli>
windward	wɪndwɔrd	<ˈwɪndwərd>
shearing	ʃɪrɪŋ	<ˈʃɪrɪŋ>
recognize	rɛkɑgnaɪz	<ˈrɛkəgˌnaɪz>
papaya	pɑpɑjɑ	<pəˈpaɪə>
soccer	sɑkkər	<ˈsɑkər>
discoveries	dɪskɑvəraɪz	<dɪˈskəvəriz>
prosecution	prɑsikutaɪn	<ˌprɑsəˈkjuʃən>
dove	duv	<dəv>
rebirth	ribərθ	<riˈbərθ>
plucker	pləkər	<ˈpləkər>
overtime	oʊvərtaɪm	<ˈoʊvərˌtaɪm>
unwittingly	ənwɪttɪŋlaɪ	<ənˈwɪtɪŋli>
journeyman	ʤʊrneɪmæn	<ˈʤərniˌmæn>
georgette	gərgɛt	<ʤɔˈrʤɛt>
worsen	wərzɛn	<ˈwərsən>
vinyl	vinɪl	<ˈvaɪnəl>
cans	kænz	<kænz>
parasitic	pɑreɪsɪtɪk	<ˌpɛrəˈsɪtɪk>
sleeper	slipər	<sˈlipər>
perversion	pərvərsɪn	<pərˈvərʒən>
medallion	midællɪn	<məˈdæljən>
trans	trænz	<trænz>
batteries	bættəraɪz	<ˈbætəriz>
supersonics	supərsɑnɪks	<ˌsupərˈsɑnɪks>
inspector	ɪnspɛktɔr	<ˌɪnˈspɛktər>
suitable	suteɪbli	<ˈsutəbəl>
allotment	ællɑtmɛnt	<əˈlɑtmənt>
carle	kɑr	<ˈkɑrəl>
trace	treɪs	<treɪs>
jive	ʤɪv	<ʤaɪv>
groove	gruv	<gruv>
inquiry	ɪnkwɪrjaɪ	<ˌɪnkˈwaɪˌri>
practicing	præktɪkɪŋ	<ˈpræktɪsɪŋ>
landlocked	lændlɑkt	<ˈlænˌdlɑkt>
greedy	gridjaɪ	<ˈgridi>
inflammation	ɪnflæmmɑtaɪn	<ˌɪnfləˈmeɪʃən>
acetone	ækitoʊn	<ˈæsəˌtoʊn>
enameled	inæmɛld	<ɪˈnæməld>
juncture	ʤənktʊr	<ˈʤəŋkʧər>
screwed	skrud	<skrud>
artifice	ɑrtifaɪs	<ˈɑrtəfɪs>
tommy	tɑmmaɪ	<ˈtɑmi>
brawl	brɔl	<brɔl>
tangent	tænʤɛnt	<ˈtænʤənt>
floor	flaʊər	<flɔr>
conveniently	kɑnvɛnɪntlaɪ	<kənˈvinjəntli>
muzzle	muzzi	<ˈməzəl>
impoundment	ɪmpaʊndmɛnt	<ˌɪmˈpaʊndmənt>
mana	mɑnɑ	<ˈmɑnə>
hypnotist	hɪpnoʊtɪst	<ˈhɪpnətɪst>
wearing	wɛrɪŋ	<ˈwɛrɪŋ>
farewell	fɛrwɛl	<ˌfɛrˈwɛl>
crayfish	kreɪfɪʃ	<ˈkreɪfɪʃ>
eugenics	juʤɛnɪks	<juˈʤɛnɪks>
possibility	pɑssibɪlaɪtaɪ	<ˌpɑsəˈbɪləˌti>
twin	twɪn	<twɪn>
jeans	ʤinz	<ʤinz>
more	mɔr	<mɔr>
delving	dɛlvɪŋ	<ˈdɛlvɪŋ>
adjacent	ædʤɑsɛnt	<əˈʤeɪsənt>
opportunity	ɑppɔrtunitaɪ	<ˌɑpərˈtunəti>
onus	oʊnuz	<ˈoʊnəs>
riverbank	rɪvərbæŋk	<ˈrɪvərˌbæŋk>
broke	broʊk	<broʊk>
password	pæswərd	<ˈpæsˌwərd>
hanger	hæŋər	<ˈhæŋər>
diner	dɪnər	<ˈdaɪnər>
feeble	fibli	<ˈfibəl>
composition	kɑmpoʊsitaɪn	<ˌkɑmpəˈzɪʃən>
spotted	spɑttɛd	<ˈspɑtɪd>
crum	krəm	<krəm>
pence	pɛns	<pɛns>
idle	aɪdɛl	<ˈaɪdəl>
ground	graʊnd	<graʊnd>
temperature	tɛmpəreɪtʊr	<ˈtɛmpərəʧər>
constructor	kɑnstrəktɔr	<kənˈstrəktər>
danger	dængər	<ˈdeɪnʤər>
becket	bɛkɛt	<ˈbɛkət>
medicine	mɛdaɪsaɪn	<ˈmɛdəsən>
allies	ællaɪz	<ˈælaɪz>
admirably	ædmirɑblaɪ	<ˈædmərəbli>
bass	bæs	<bæs>
philanthropic	fɪlænθrɑpɪk	<ˌfɪlənθˈrɑpɪk>
policy	pɑlaɪkaɪ	<ˈpɑləsi>
citadel	sɪteɪdɛl	<ˈsɪtəˌdɛl>
intense	ɪntɛns	<ˌɪnˈtɛns>
affirm	æffərm	<əˈfərm>
debarment	dibɑrmɛnt	<dɪˈbɑrmənt>
benzene	bɛnzin	<ˈbɛnzin>
hoop	hup	<hup>
tweedy	twidjaɪ	<tˈwidi>
rab	ræb	<ræb>
rescheduled	riskɛdjuld	<riˈskɛʤuld>
chimera	ʧaɪmirɑ	<ʧɪˈmɛrə>
rotation	roʊtɑtaɪn	<roʊˈteɪʃən>
naval	nɑvæl	<ˈneɪvəl>
hills	hɪls	<hɪlz>
intervened	ɪntərvind	<ˌɪntərˈvind>
patios	pɑtiɑs	<ˈpætiˌoʊz>
dammit	dæmmɪt	<ˈdæmɪt>
usefulness	juzfəlnɛs	<ˈjusfəlnəs>
indigenous	ɪndɪginuz	<ˌɪnˈdɪʤənəs>
aviator	eɪvieɪtɔr	<ˈeɪviˌeɪtər>
willingness	wɪlɪŋnɛs	<ˈwɪlɪŋnəs>
quorum	kwərəm	<kˈwɔrəm>
colloquial	kɑlloʊkwiæl	<kəˈloʊkwiəl>
geothermal	ʤioʊθərmæl	<ˌʤioʊˈθərməl>
yelp	jɛlp	<jɛlp>
exceedingly	ɛkssidɪŋlaɪ	<ɪkˈsidɪŋli>
autistic	oʊtɪstɪk	<ɔˈtɪstɪk>
fraternity	frɑtərnitaɪ	<frəˈtərnɪti>
dissociation	dɪssoʊkieɪtaɪn	<dɪˌsoʊsiˈeɪʃən>
assure	æsʃʊr	<əˈʃʊr>
plover	plɑvər	<ˈpləvər>
egregious	igrigaʊz	<ɪˈgriʤəs>
exemplary	ɛksɛmplɑraɪ	<ɪgˈzɛmpləri>
adversely	ædvərslaɪ	<ædˈvərsli>
novice	nɑvaɪs	<ˈnɑvəs>
foothold	futhoʊld	<ˈfʊˌthoʊld>
poisonous	pɔɪsɑnaʊz	<ˈpɔɪzənəs>
conte	kɑnt	<ˈkɔnteɪ>
affine	æffaɪn	<əˈfaɪn>
terra	tərrɑ	<ˈtɛˌrɑ>
revolve	rivəlv	<riˈvɑlv>
sear	sɪr	<sɪr>
stroke	stoʊk	<stroʊk>
salesperson	seɪlzpərsɑn	<ˈseɪlzˌpərsən>
keen	kin	<kin>
map	mæp	<mæp>
mound	maʊnd	<maʊnd>
retardation	ritɑrdɑtaɪn	<ritɑrˈdeɪʃən>
seedling	sidlɪŋ	<ˈsidlɪŋ>
lawless	lɔlɛs	<ˈlɔləs>
rechargeable	riʧɑrʤeɪbli	<riˈʧɑrʤəbəl>
convict	kɑnvɪkt	<ˈkɑnvɪkt>
marshmallow	mɑrʃmælloʊ	<ˈmɑrʃˌmɛloʊ>
boxer	bɑksər	<ˈbɑksər>
guns	gənz	<gənz>
cellulose	sɛlluloʊz	<ˈsɛljəˌloʊs>
trademark	treɪdmɑrk	<ˈtreɪdˌmɑrk>
exceptionally	ɛkssɛptaɪnællaɪ	<ɪkˈsɛpʃənəli>
blimp	blɪmp	<blɪmp>
evaluation	ivælueɪtaɪn	<ɪˌvæljuˈeɪʃən>
subsection	səbsɛktaɪn	<ˈsəbsɛkʃən>
laird	lɛrd	<lɛrd>
oral	oʊræl	<ˈɔrəl>
liberating	lɪbərætɪŋ	<ˈlɪˌbərˌeɪtɪŋ>
submit	səbmɪt	<səbˈmɪt>
crisscross	krɪskrɑs	<ˈkrɪˌskrɔs>
scrutiny	skrutinaɪ	<ˈskrutəni>
loathing	loʊθɪŋ	<ˈloʊθɪŋ>
deliciously	dilaɪkaʊzlaɪ	<dɪˈlɪʃəʃli>
lily	lɪljaɪ	<ˈlɪli>
deuterium	dutəraɪəm	<duˈtiriəm>
devious	diviaʊz	<ˈdiviəs>
constructive	kɑnstrəktaɪv	<kənˈstrəktɪv>
rarest	rɑrɛst	<ˈrɛrəst>
lech	lɛʧ	<lɛk>
unnecessary	ənnɛkɛssɑrjaɪ	<ənˈnɛsəˌsɛri>
overly	oʊvərlaɪ	<ˈoʊvərli>
nucleation	nuklieɪtaɪn	<ˌnukliˈeɪʃən>
attach	ættæʧ	<əˈtæʧ>
refined	rifaɪnd	<rɪˈfaɪnd>
libra	laɪbrɑ	<ˈlibrɑ>
joyous	ʤɔɪaʊz	<ʤɔɪəs>
absorbed	æbsɔrd	<əbˈzɔrbd>
henrietta	hɛnraɪɛttɑ	<ˌhɛnriˈɛtə>
refute	rifjut	<rɪfˈjut>
load	loʊd	<loʊd>
costly	kɑstlaɪ	<ˈkɔstli>
cotta	kɑttɑ	<ˈkɑtə>
display	dɪspleɪ	<dɪˈspleɪ>
song	sɑŋ	<sɔŋ>
pane	peɪn	<peɪn>
wired	waɪərd	<waɪərd>
vibrant	vibrænt	<ˈvaɪbrənt>
metabolism	mitæboʊlɪs	<məˈtæbəˌlɪzəm>
guardian	gɑrdaɪæn	<ˈgɑrdiən>
detritus	ditraɪtəs	<ˈdɛtrətəs>
waders	wɑdərs	<ˈweɪdərz>
trimming	trɪmmɪŋ	<ˈtrɪmɪŋ>
xenon	sɛnɑn	<ˈzinɑn>
attending	ættɛndɪŋ	<əˈtɛndɪŋ>
laughing	læfɪŋ	<ˈlæfɪŋ>
exercising	ɛksərsɪsɪŋ	<ˈɛksərˌsaɪzɪŋ>
mystery	mɪstərjaɪ	<ˈmɪstəri>
infinity	ɪnfɪnaɪtaɪ	<ˌɪnˈfɪnɪti>
soggy	sɑggaɪ	<ˈsɑgi>
importantly	ɪmpɔrtæntlaɪ	<ˌɪmˈpɔrtəntli>
selectively	silɛktaɪvlaɪ	<səˈlɛktɪvli>
candlelight	kændɛllaɪt	<ˈkændəˌllaɪt>
rho	roʊ	<roʊ>
unaffected	ənæffɛktɛd	<ˌənəˈfɛktɪd>
trump	trəmp	<trəmp>
boomer	bumər	<ˈbumər>
heartless	hɑrtlɛs	<ˈhɑrtləs>
avatar	æveɪtɑr	<ˈævəˌtɑr>
uncover	ənkɔv	<ənˈkəvər>
devotional	divoʊtaɪnæl	<dɪˈvoʊʃənəl>
content	kɑntɛnt	<ˈkɑntɛnt>
numerology	numɛroʊloʊgaɪ	<numərˈɑləʤi>
onward	ɑnwɔrd	<ˈɔnwərd>
office	ɑffaɪs	<ˈɔfəs>
thankfully	θæŋkfəllaɪ	<ˈθæŋkfəli>
aviation	eɪvieɪtaɪn	<ˌeɪviˈeɪʃən>
institutes	ɪnstaɪtut	<ˈɪnstɪˌtuts>
devour	divaʊr	<dɪˈvaʊər>
modeled	mɑdɛld	<ˈmɑdəld>
burl	bərl	<bərl>
tuff	təf	<təf>
puri	puraɪ	<ˈpʊri>
coffee	kɑffi	<ˈkɔfi>
situated	sɪtuætɛd	<ˈsɪʧuˌeɪtɪd>
toolbox	tulbɑks	<ˈtulˌbɔks>
activist	æktɪvɪst	<ˈæktɪvɪst>
damn	dæm	<dæm>
mitral	mitræl	<ˈmaɪtrəl>
hollow	hɑlloʊ	<ˈhɑloʊ>
insurer	ɪnsərər	<ˌɪnˈʃʊrər>
oozing	uzɪŋ	<ˈuzɪŋ>
boron	boʊrɑn	<ˈbɔˌrɑn>
wetting	wɛttɪŋ	<ˈwɛtɪŋ>
nineteenth	naɪntinθ	<ˈnaɪnˈtinθ>
black	blæk	<blæk>
nimble	nɪmbli	<ˈnɪmbəl>
ascend	æssɛnd	<əˈsɛnd>
mongolian	mɑngoʊlaɪæn	<mɑŋˈgoʊljən>
shortcake	ʃɔrtkeɪk	<ˈʃɔrtˌkeɪk>
defiance	difaɪæns	<dɪˈfaɪəns>
emergence	imɛrʤɛns	<ˈimərʤəns>
alms	æmz	<ɑmz>
stabilizer	stɑbaɪlɪzər	<ˈsteɪbəˌlaɪzər>
easy	izjaɪ	<ˈizi>
delinquent	dilɪnkwɛnt	<dɪˈlɪŋkwənt>
mpg	mpɑg	<ˈɛmˈpiˈʤi>
tonga	tɑngɑ	<ˈtɑngə>
bower	boʊər	<baʊər>
fulfillment	fəlfɪlmɛnt	<fʊlˈfɪlmənt>
handed	hændɛd	<ˈhændɪd>
ultrasound	əltrɑsaʊnd	<ˌəltrəˈsaʊnd>
encapsulating	ɛnkæpsulætɪŋ	<ɛnˈkæpsəˌleɪtɪŋ>
review	rivju	<ˌrivˈju>
prawn	prɔn	<prɔn>
unfinished	ənfɪnaɪʃd	<ənˈfɪnɪʃt>
hock	hɑk	<hɑk>
spiritual	spɪrɪtuæl	<ˈspɪrɪˌʧuəl>
foreclosed	fɔrkloʊzd	<fɔrˈkloʊzd>
brain	breɪn	<breɪn>
horror	hərrər	<ˈhɔrər>
sowing	soʊɪŋ	<soʊɪŋ>
dissimilar	dɪssɪmaɪlɑr	<dɪˈsɪmələr>
endorsed	ɛndɔrzd	<ɛnˈdɔrst>
kingdom	kɪŋdɑm	<ˈkɪŋdəm>
stave	steɪv	<steɪv>
ways	weɪz	<weɪz>
gourd	gɔrd	<gɔrd>
whatever	wɑtɛvər	<ˌwəˈtɛvər>
amplification	æmplaɪfaɪkɑtaɪn	<ˌæmpləfəˈkeɪʃən>
obituaries	oʊbɪtuɑraɪz	<oʊˈbɪʧuˌɛriz>
remote	rimoʊt	<rɪˈmoʊt>
profiling	proʊfɪlɪŋ	<ˈproʊˌfaɪlɪŋ>
displace	dɪspleɪs	<dɪˈspleɪs>
who	hoʊ	<hu>
providing	proʊvɪdɪŋ	<prəˈvaɪdɪŋ>
sadness	sædnɛs	<ˈsædnəs>
inherent	ɪnhərɛnt	<ˌɪnˈhɛrənt>
outage	aʊteɪʤ	<ˈaʊtɪʤ>
combined	kɑmbaɪnd	<kəmˈbaɪnd>
crumble	krəmbli	<ˈkrəmbəl>
basic	bɑsɪk	<ˈbeɪsɪk>
goblin	gɑblɪn	<ˈgɑblɪn>
rolling	roʊlɪŋ	<ˈroʊlɪŋ>
kilogram	kɪloʊgræm	<ˈkɪləˌgræm>
bogus	boʊgəs	<ˈboʊgəs>
sanctification	sænktifaɪkɑtaɪn	<ˌsæŋktəfəˈkeɪʃən>
prospective	proʊspɛktaɪv	<prəˈspɛktɪv>
statute	stætjut	<ˈstæʧut>
normality	nɔrmælaɪtaɪ	<ˌnɔrˈmæləti>
hamlet	hæmlɛt	<ˈhæmlɪt>
giles	gaɪlz	<ʤaɪlz>
cock	kɑk	<kɑk>
orally	oʊrællaɪ	<ˈɔrəli>
normally	nɔrmællaɪ	<ˈnɔrməli>
tripping	trɪppɪŋ	<ˈtrɪpɪŋ>
unanimity	unɑnɪmaɪtaɪ	<ˌjunəˈnɪmɪti>
automatic	oʊtoʊmætɪk	<ˌɔtəˈmætɪk>
shanghai	ʃæŋheɪ	<ˈʃæŋˈhaɪ>
howdy	haʊdaɪ	<ˈhaʊdi>
botanical	boʊtænaɪkæl	<bəˈtænɪkəl>
lengthy	lɛŋθjaɪ	<ˈlɛŋθi>
pliable	plaɪeɪbli	<ˈplaɪəbəl>
uninhabited	ənɪnhɑbɪtɛd	<ˌənɪnˈhæbətɪd>
socialism	soʊkilɪs	<ˈsoʊʃəˌlɪzəm>
ravioli	rɑvioʊlaɪ	<ˌræviˈoʊli>
inlet	ɪnlɛt	<ˈɪnˌlɛt>
sadly	sædlaɪ	<ˈsædli>
renown	rinaʊn	<rɪˈnaʊn>
logos	lɑgɑs	<ˈloʊˌgoʊz>
grievance	grivæns	<ˈgrivəns>
vector	vɛktɔr	<ˈvɛktər>
manhood	mænhʊd	<ˈmænˌhʊd>
rewrote	riroʊt	<riˈroʊt>
kamikaze	kɑmikɑzi	<ˌkɑməˈkɑzi>
queen	kwin	<kwin>
sauce	sɔs	<sɔs>
barre	bɑr	<ˈbɛri>
innovator	ɪnnoʊvɑtɔr	<ˈɪnəˌveɪtər>
wiring	wərɪŋ	<ˈwaɪrɪŋ>
courtyard	kɔrtjɑrd	<ˈkɔrˌtjɑrd>
telford	tɛlfɔrd	<ˈtɛlfərd>
nomadic	noʊmædɪk	<noʊˈmædɪk>
tenure	tɛnjur	<ˈtɛnjər>
leisurely	liʃʊrlaɪ	<ˈlizərli>
sea	si	<si>
farmhouse	fɑrmhaʊs	<ˈfɑrmˌhaʊs>
still	stɪl	<stɪl>
poised	paɪzd	<pɔɪzd>
bundle	bəndɛl	<ˈbəndəl>
choruses	ʧoʊrəsɛs	<ˈkɔrəsɪz>
doubling	dublɪŋ	<ˈdəbəlɪŋ>
spokeswoman	spoʊkswɑmæn	<ˈspoʊksˌwʊmən>
seating	sitɪŋ	<ˈsitɪŋ>
burg	bərg	<bərg>
agency	eɪʤɛnkaɪ	<ˈeɪʤənsi>
dipping	dɪppɪŋ	<ˈdɪpɪŋ>
bobcat	bɑbkæt	<ˈbɑbˌkæt>
psychotherapist	paɪʧoʊθəreɪpɪst	<ˌsaɪkəˈθɛrəpɪst>
brainstorm	breɪnstɔrm	<ˈbreɪnˌstɔrm>
soothing	suθɪŋ	<ˈsuðɪŋ>
shew	ʃu	<ʃu>
vetting	vɛttɪŋ	<ˈvɛtɪŋ>
interferometer	ɪntərfərɑmitər	<ˌɪntərfərˈɑmətər>
seed	sid	<sid>
surveyor	sərveɪər	<ˈsərˌveɪər>
realtor	riæltɔr	<ˈriəltər>
inductor	ɪndəktɔr	<ˌɪnˈdəktər>
compendium	kɑmpɛndaɪəm	<kəmˈpɛndiəm>
bighorn	bɪghɔrn	<ˈbɪˌghɔrn>
