ing	<ɪŋ>
cent	<sɛnt>
tre	<treɪ>
lees	<liz>
ac	<ˈeɪˈsi>
firm	<fərm>
ware	<wɛr>
fugue	<fjug>
guilt	<gɪlt>
ad	<æd>
no	<noʊ>
mic	<mɪk>
mo	<moʊ>
tor	<tɔr>
sump	<səmp>
croc	<krɑk>
par	<pɑr>
med	<mɛd>
spout	<spaʊt>
broad	<brɔd>
cord	<kɔrd>
im	<ɪm>
der	<dər>
writ	<rɪt>
scarves	<skɑrvz>
an	<ən>
da	<ˈdiˈeɪ>
au	<oʊ>
burn	<bərn>
she	<ʃi>
pug	<pəg>
height	<haɪt>
blan	<blæn>
weight	<weɪt>
ta	<tɑ>
thi	<θi>
one	<wən>
ma	<mɑ>
lam	<læm>
ditch	<dɪʧ>
ap	<ˌeɪˈpi>
point	<pɔɪnt>
strict	<strɪkt>
croft	<krɔft>
game	<geɪm>
hy	<haɪ>
per	<pər>
sub	<səb>
lease	<lis>
gen	<ʤɛn>
sine	<saɪn>
road	<roʊd>
house	<haʊs>
fan	<fæn>
fare	<fɛr>
sep	<ˈɛˈsiˈpi>
ra	<rɑ>
flung	<fləŋ>
last	<læst>
co	<koʊ>
ney	<neɪ>
met	<mɛt>
ric	<rɪk>
cau	<koʊ>
li	<li>
flow	<floʊ>
gloom	<glum>
cal	<kæl>
man	<mæn>
gate	<geɪt>
sec	<sɛk>
thane	<θeɪn>
lot	<lɔt>
smooth	<smuð>
ness	<nɛs>
latch	<læʧ>
vere	<vɪr>
bat	<bæt>
field	<fild>
mist	<mɪst>
glob	<glɑb>
lin	<lɪn>
by	<baɪ>
stand	<stænd>
death	<dɛθ>
lock	<lɑk>
what	<wət>
not	<nɑt>
brat	<bræt>
pur	<pər>
sued	<sud>
pose	<poʊz>
big	<bɪg>
gest	<ʤɛst>
day	<deɪ>
dream	<drim>
si	<si>
lax	<læks>
jour	<ʤur>
gum	<gəm>
my	<maɪ>
rad	<ræd>
zeal	<zil>
ot	<ˈoʊˈti>
roused	<raʊzd>
fore	<fɔr>
told	<toʊld>
nom	<nɑm>
nat	<næt>
ne	<ni>
com	<kɑm>
briefs	<brifs>
tri	<traɪ>
ca	<ˈsiˈeɪ>
pen	<pɛn>
head	<hɛd>
nap	<næp>
hatch	<hæʧ>
go	<goʊ>
or	<ər>
gan	<gæn>
fool	<ful>
ish	<ɪʃ>
fis	<fɪs>
shown	<ʃoʊn>
try	<traɪ>
fac	<fæk>
pris	<prɪs>
crawl	<krɔl>
pan	<pæn>
ram	<ræm>
net	<nɛt>
chan	<ʧæn>
nel	<nɛl>
as	<ɛz>
so	<soʊ>
tobe	<toʊb>
whence	<wɛns>
use	<juz>
cep	<sɛp>
han	<hɑn>
bar	<bɑr>
dorn	<dɔrn>
gawk	<gɔk>
mit	<ˈɛˈmaɪˈti>
tal	<tɑl>
sort	<sɔrt>
nu	<nu>
is	<ɪz>
tak	<tæk>
mind	<maɪnd>
ah	<ɑ>
sil	<sɪl>
sense	<sɛns>
less	<lɛs>
court	<kɔrt>
op	<ɔp>
at	<æt>
trac	<træk>
fair	<fɛr>
might	<maɪt>
plas	<plæs>
gold	<goʊld>
fish	<fɪʃ>
ab	<æb>
do	<du>
pig	<pɪg>
men	<mɛn>
rode	<roʊd>
ward	<wɔrd>
exec	<ˌɛgˈzɛk>
each	<iʧ>
pres	<prɛz>
sant	<sænt>
stat	<stæt>
bib	<bɪb>
og	<ɑg>
phy	<faɪ>
spark	<spɑrk>
nut	<nət>
cus	<ˈsiˈjuˈɛs>
base	<beɪs>
board	<bɔrd>
bluff	<bləf>
sa	<sɑ>
dat	<dæt>
wash	<wɑʃ>
brad	<bræd>
parr	<pɑr>
ver	<vər>
breed	<brid>
ard	<ɑrd>
cel	<sɛl>
lo	<loʊ>
back	<bæk>
spill	<spɪl>
vain	<veɪn>
ev	<ɛv>
pos	<ˈpiˈoʊˈɛs>
bil	<bɪl>
some	<səm>
lie	<laɪ>
mine	<maɪn>
leu	<lu>
ko	<koʊ>
class	<klæs>
throm	<θrɑm>
bin	<bɪn>
fath	<fæθ>
trite	<traɪt>
mat	<mæt>
mud	<məd>
yep	<jɛp>
sym	<sɪm>
bol	<bɑl>
clear	<klɪr>
climb	<klaɪm>
boose	<bus>
flo	<floʊ>
el	<ɛl>
with	<wɪθ>
rec	<rɛk>
den	<dɛn>
fi	<fi>
mir	<mɪr>
green	<grin>
syn	<sɪn>
the	<ðə>
grin	<grɪn>
luck	<lək>
soft	<sɔft>
ball	<bɔl>
act	<ækt>
nine	<naɪn>
law	<lɔ>
seas	<siz>
bomb	<bɔm>
roast	<roʊst>
boo	<bu>
puss	<pʊs>
sum	<səm>
howe	<haʊ>
droid	<drɔɪd>
mim	<mɪm>
waist	<weɪst>
tho	<ðoʊ>
year	<jɪr>
book	<bʊk>
wave	<weɪv>
sign	<saɪn>
ee	<i>
um	<əm>
calf	<kæf>
ro	<roʊ>
pine	<paɪn>
vat	<væt>
sim	<sɪm>
ho	<hoʊ>
mol	<mɔl>
past	<pæst>
key	<ki>
stroke	<stroʊk>
gu	<gu>
high	<haɪ>
light	<laɪt>
tol	<tɔl>
reg	<rɛg>
lat	<lɑt>
cow	<kaʊ>
hide	<haɪd>
mar	<mɑr>
neu	<nɔɪ>
rol	<roʊl>
lip	<lɪp>
tic	<tɪk>
pat	<pæt>
drop	<drɔp>
bur	<bər>
scrub	<skrəb>
hance	<hæns>
post	<poʊst>
scar	<skɑr>
blood	<bləd>
wet	<wɛt>
po	<poʊ>
lice	<laɪs>
cos	<kɔs>
tract	<trækt>
grunt	<grənt>
scrape	<skreɪp>
aus	<aʊz>
pic	<pɪk>
blue	<blu>
print	<prɪnt>
san	<sæn>
ship	<ʃɪp>
stock	<stɑk>
walk	<wɔk>
ran	<ræn>
ciao	<ʧaʊ>
ask	<æsk>
lack	<læk>
chant	<ʧænt>
case	<keɪs>
fused	<fjuzd>
hack	<hæk>
match	<mæʧ>
mak	<mæk>
sur	<sər>
il	<ɪl>
fat	<fæt>
ley	<leɪ>
then	<ðɛn>
plan	<plæn>
ning	<nɪŋ>
sul	<səl>
pent	<pɛnt>
tapped	<tæpt>
mil	<mɪl>
tar	<tɑr>
push	<pʊʃ>
spence	<spɛns>
stum	<stəm>
space	<speɪs>
feur	<fər>
car	<kɑr>
dice	<daɪs>
grind	<graɪnd>
low	<loʊ>
rat	<ræt>
thor	<θɔr>
ax	<æks>
lev	<lɛv>
five	<faɪv>
long	<lɔŋ>
tour	<tʊr>
whirl	<wərl>
mon	<mɑn>
logue	<loʊg>
me	<mi>
true	<tru>
em	<ɛm>
mixed	<mɪkst>
blanc	<blæŋk>
masked	<mæskt>
zen	<zɛn>
doh	<doʊ>
mean	<min>
su	<su>
stiff	<stɪf>
glo	<gloʊ>
sin	<sɪn>
dic	<dɪk>
hal	<hæl>
le	<lə>
tran	<træn>
fight	<faɪt>
beam	<bim>
am	<æm>
phi	<faɪ>
bull	<bʊl>
pers	<pərs>
wan	<wɑn>
lust	<ləst>
trus	<trəs>
tee	<ti>
sear	<sɪr>
pae	<paɪ>
sta	<ˈɛˈstiˈeɪ>
clank	<klæŋk>
veil	<veɪl>
sell	<sɛl>
wrong	<rɔŋ>
band	<bænd>
skip	<skɪp>
farm	<fɑrm>
art	<ɑrt>
mor	<mɔr>
row	<roʊ>
lear	<lɪr>
troupe	<trup>
gas	<gæs>
line	<laɪn>
short	<ʃɔrt>
cake	<keɪk>
ale	<eɪl>
fel	<fɛl>
bal	<bæl>
cute	<kjut>
perch	<pərʧ>
jas	<ʤæs>
ret	<rɛt>
dim	<dɪm>
pub	<pəb>
can	<kən>
gyp	<ʤɪp>
sy	<saɪ>
tis	<tɪz>
be	<bi>
tween	<twin>
skeet	<skit>
thrash	<θræʃ>
wat	<wɔt>
tant	<tænt>
scope	<skoʊp>
spa	<spɑ>
wiz	<wɪz>
mum	<məm>
jif	<ʤɪf>
karst	<kɑrst>
los	<lɔs>
chi	<kaɪ>
pep	<pɛp>
stride	<straɪd>
auto	<ˈɔtoʊ>
ried	<rid>
sauce	<sɔs>
tan	<tæn>
lap	<læp>
ping	<pɪŋ>
del	<dɛl>
mam	<ˈɛˈmeɪˈɛm>
bo	<boʊ>
liv	<lɪv>
van	<væn>
mirth	<mərθ>
linked	<lɪŋkt>
bid	<bɪd>
cha	<ʧɑ>
os	<ɑs>
gram	<græm>
ming	<mɪŋ>
peace	<pis>
time	<taɪm>
thank	<θæŋk>
of	<əv>
fend	<fɛnd>
down	<daʊn>
mal	<mæl>
lar	<lɑr>
seis	<sis>
rut	<rət>
node	<noʊd>
mas	<mɑz>
vail	<veɪl>
ent	<ɛnt>
brew	<bru>
rain	<reɪn>
pup	<pəp>
flu	<flu>
res	<reɪz>
sax	<sæks>
dung	<dəŋ>
bob	<bɑb>
sled	<slɛd>
gran	<græn>
ose	<oʊz>
dol	<dɑl>
gaunt	<gɔnt>
brock	<brɑk>
loft	<lɔft>
ling	<lɪŋ>
phen	<fɛn>
lux	<ləks>
strip	<strɪp>
ant	<ænt>
tut	<tət>
pert	<pərt>
flam	<flæm>
boy	<bɔɪ>
fu	<fu>
sus	<səs>
toon	<tun>
grace	<greɪs>
kin	<kɪn>
boned	<boʊnd>
wards	<wɔrdz>
train	<treɪn>
stag	<stæg>
gess	<ʤɛs>
turn	<tərn>
round	<raʊnd>
gag	<gæg>
erk	<ərk>
lon	<lɑn>
lisle	<laɪəl>
eyed	<aɪd>
nerves	<nərvz>
name	<neɪm>
plate	<pleɪt>
te	<ti>
por	<pɔr>
sis	<sɪs>
whine	<waɪn>
dull	<dəl>
crim	<krɪm>
land	<lænd>
odd	<ɑd>
feet	<fit>
bark	<bɑrk>
fir	<fər>
pros	<proʊz>
her	<hər>
vis	<vɪs>
knight	<naɪt>
growth	<groʊθ>
tice	<taɪs>
false	<fɔls>
rig	<rɪg>
pressed	<prɛst>
boob	<bub>
cou	<ku>
rant	<rænt>
nit	<nɪt>
fin	<fɪn>
priest	<prist>
clap	<klæp>
brim	<brɪm>
tig	<tɪg>
vine	<vaɪn>
great	hum	<həm>
most	<moʊst>
loch	<lɑk>
gripe	<graɪp>
net	<nɛt>
phone	<foʊn>
ade	<eɪd>
cep	<sɛp>
tent	<tɛnt>
tho	<ðoʊ>
mack	<mæk>
tosh	<tɑʃ>
core	<kɔr>
cel	<sɛl>
fuss	<fəs>
jaw	<ʤɔ>
crude	<krud>
glad	<glæd>
cern	<sərn>
safe	<seɪf>
known	<noʊn>
tai	<taɪ>
weld	<wɛld>
writ	<rɪt>
hogg	<hɑg>
shake	<ʃeɪk>
dith	<dɪθ>
test	<tɛst>
seen	<sin>
inn	<ɪn>
cham	<ʧæm>
mile	<maɪl>
mon	<mɑn>
lish	<lɪʃ>
take	<teɪk>
snug	<snəg>
heard	<hərd>
port	<pɔrt>
mid	<mɪd>
win	<wɪn>
cid	<sɪd>
well	<wɛl>
nite	<naɪt>
jew	<ʤu>
thar	<θɑr>
coach	<koʊʧ>
pas	<pɑz>
sub	<səb>
bleed	<blid>
phy	<faɪ>
carl	<kɑrl>
tis	<tɪz>
cleans	<klinz>
tax	<tæks>
pied	<paɪd>
pur	<pər>
doe	<doʊ>
sized	<saɪzd>
plan	<plæn>
ning	<nɪŋ>
stet	<stɛt>
lash	<læʃ>
pol	<pɔl>
wick	<wɪk>
gan	<gæn>
build	<bɪld>
ju	<ʤu>
mer	<mɛr>
ad	<æd>
prob	<prɑb>
creep	<krip>
rah	<rɑ>
biz	<bɪz>
prince	<prɪns>
dic	<dɪk>
fig	<fɪg>
ur	<ər>
rack	<ræk>
wail	<weɪl>
sauce	<sɔs>
view	<vju>
clips	<klɪps>
verse	<vərs>
gent	<ʤɛnt>
dog	<dɔg>
pomp	<pɑmp>
hut	<hət>
maid	<meɪd>
cob	<kɑb>
os	<ɑs>
drain	<dreɪn>
m	<ɛm>
l	<ɛl>
ted	<tɛd>
cry	<kraɪ>
gen	<ʤɛn>
chaff	<ʧæf>
rab	<ræb>
ail	<eɪl>
lide	<laɪd>
snake	<sneɪk>
hold	<hoʊld>
mel	<mɛl>
coat	<koʊt>
lid	<lɪd>
fill	<fɪl>
his	<hɪz>
mote	<moʊt>
morn	<mɔrn>
dent	<dɛnt>
ros	<rɔs>
weep	<wip>
og	<ɑg>
pay	<peɪ>
ee	<i>
sym	<sɪm>
gasp	<gæsp>
dif	<dɪf>
mic	<mɪk>
wood	<wʊd>
die	<daɪ>
stand	<stænd>
rail	<reɪl>
ref	<rɛf>
dum	<dəm>
lage	<leɪʤ>
gloom	<glum>
loon	<lun>
neg	<nɛg>
birch	<bərʧ>
vin	<vɪn>
yeo	<ˈjioʊ>
pent	<pɛnt>
house	<haʊs>
ab	<æb>
brunt	<brənt>
mom	<mɑm>
vast	<væst>
raz	<ræz>
zi	<zi>
ord	<ɔrd>
fan	<fæn>
sew	<soʊ>
pressed	<prɛst>
spat	<spæt>
pat	<pæt>
stat	<stæt>
ure	<jur>
dank	<dæŋk>
fur	<fər>
sip	<sɪp>
ping	<pɪŋ>
math	<mæθ>
jane	<ʤeɪn>
yule	<jul>
flu	<flu>
lute	<lut>
strep	<strɛp>
short	<ʃɔrt>
poor	<pur>
scribe	<skraɪb>
bic	<bɪk>
it	<ɪt>
air	<ɛr>
lift	<lɪft>
share	<ʃɛr>
ole	<ˌoʊˈleɪ>
tag	<tæg>
nist	<nɪst>
phase	<feɪz>
drove	<droʊv>
boot	<but>
leg	<lɛg>
dike	<daɪk>
cop	<kɑp>
vent	<vɛnt>
food	<fud>
god	<gɑd>
seam	<sim>
if	<ɪf>
fore	<fɔr>
closed	<kloʊzd>
scarves	<skɑrvz>
cum	<kəm>
ski	<ski>
damp	<dæmp>
ho	<hoʊ>
till	<tɪl>
plunge	<plənʤ>
eighth	<eɪθ>
ant	<ænt>
cap	<kæp>
kraft	<kræft>
strap	<stræp>
chae	<ʧaɪ>
gist	<ʤɪst>
dae	<deɪ>
que	<kju>
ric	<rɪk>
heath	<hiθ>
quail	<kweɪl>
tile	<taɪl>
lem	<lɛm>
rag	<ræg>
ged	<ˈʤiˈiˈdi>
il	<ɪl>
gal	<gæl>
nag	<næg>
duc	<dək>
cut	<kət>
nod	<nɑd>
cate	<keɪt>
zip	<zɪp>
barge	<bɑrʤ>
for	<fər>
tar	<tɑr>
scrap	<skræp>
book	<bʊk>
tex	<tɛks>
ounce	<aʊns>
two	<tu>
fold	<foʊld>
list	<lɪst>
mine	<maɪn>
world	<wərld>
prom	<prɑm>
ret	<rɛt>
aux	<oʊ>
truss	<trəs>
salm	<sɑm>
tick	<tɪk>
bit	<bɪt>
vers	<vərs>
class	<klæs>
vest	<vɛst>
bridge	<brɪʤ>
wait	<weɪt>
flask	<flæsk>
start	<stɑrt>
news	<nuz>
din	<dɪn>
cliff	<klɪf>
spas	<spɑz>
trick	<trɪk>
taint	<teɪnt>
lan	<læn>
yard	<jɑrd>
rave	<reɪv>
dat	<dæt>
charged	<ʧɑrʤd>
bes	<biz>
gain	<geɪn>
wares	<wɛrz>
eb	<ɛb>
ren	<rɛn>
mam	<ˈɛˈmeɪˈɛm>
sump	<səmp>
off	<ɔf>
beat	<bit>
seat	<sit>
lump	<ləmp>
ard	<ɑrd>
brows	<braʊz>
sir	<sər>
rock	<rɑk>
hill	<hɪl>
dec	<dɛk>
meth	<mɛθ>
hot	<hɑt>
super	<ˈsupər>
vet	<vɛt>
ru	<ˈɑˈrju>
flew	<flu>
tan	<tæn>
ches	<ʧɛs>
bra	<brɑ>
fab	<fæb>
bulk	<bəlk>
of	<əv>
fence	<fɛns>
hom	<hɑm>
fed	<fɛd>
town	<taʊn>
ploy	<plɔɪ>
kiln	<kɪln>
length	<lɛŋθ>
sloth	<sloʊθ>
lab	<læb>
chest	<ʧɛst>
ties	<taɪz>
tend	<tɛnd>
life	<laɪf>
rain	<reɪn>
bow	<boʊ>
fraud	<frɔd>
kin	<kɪn>
qui	<ki>
qua	<kwɑ>
r	<ɑr>
loath	<loʊθ>
fun	<fən>
first	<fərst>
broth	<brɔθ>
love	<ləv>
drink	<drɪŋk>
van	<væn>
grab	<græb>
wold	<woʊld>
scrub	<skrəb>
bing	<bɪŋ>
blouse	<blaʊs>
size	<saɪz>
gram	<græm>
pimp	<pɪmp>
rook	<rʊk>
ace	<eɪs>
poss	<pɔs>
ve	<vi>
nous	<nus>
push	<pʊʃ>
dry	<draɪ>
sy	<saɪ>
flog	<flɑg>
band	<bænd>
thane	<θeɪn>
aim	<eɪm>
tim	<tɪm>
land	<lænd>
jua	<ʤuə>
thrash	<θræʃ>
iq	<ˈaɪˈkju>
hen	<hɛn>
spoon	<spun>
sig	<sɪg>
board	<bɔrd>
tell	<tɛl>
floats	<floʊts>
shek	<ʃɛk>
rang	<ræŋ>
pal	<pæl>
why	<waɪ>
flop	<flɑp>
g	<ʤi>
tech	<tɛk>
nic	<nɪk>
quad	<kwɑd>
syn	<sɪn>
gee	<ʤi>
nam	<næm>
risk	<rɪsk>
that	<ðət>
coup	<ku>
pork	<pɔrk>
week	<wik>
east	<ist>
flam	<flæm>
empt	<ɛmt>
dill	<dɪl>
lene	<lin>
sales	<seɪlz>
north	<nɔrθ>
pour	<pɔr>
smirk	<smərk>
ward	<wɔrd>
fugue	<fjug>
pass	<pæs>
pock	<pɑk>
gig	<gɪg>
brack	<bræk>
pres	<prɛz>
nil	<nɪl>
cause	<kɔz>
stick	<stɪk>
white	<waɪt>
fish	<fɪʃ>
pon	<pɑn>
toon	<tun>
our	<ɑr>
show	<ʃoʊ>
pus	<pəs>
dough	<doʊ>
cha	<ʧɑ>
bond	<bɑnd>
field	<fild>
bead	<bid>
slay	<sleɪ>
gil	<gɪl>
weir	<wir>
sport	<spɔrt>
nan	<næn>
yet	<jɛt>
jack	<ʤæk>
pot	<pɑt>
brain	<breɪn>
hearth	<hɑrθ>
rate	<reɪt>
tense	<tɛns>
pip	<pɪp>
pin	<pɪn>
ise	<aɪz>
reck	<rɛk>
chart	<ʧɑrt>
see	<si>
tow	<toʊ>
joint	<ʤɔɪnt>
kain	<keɪn>
serv	<sərv>
thrust	<θrəst>
lim	<lɪm>
trap	<træp>
trunk	<trəŋk>
check	<ʧɛk>
hire	<haɪər>
ze	<zeɪ>
lite	<laɪt>
p>
drake	<dreɪk>
east	<ist>
crook	<krʊk>
frieze	<friz>
aye	<aɪ>
bridged	<brɪʤd>
tech	<tɛk>
hard	<hɑrd>
neck	<nɛk>
lace	<leɪs>
cher	<ʃɛr>
fed	<fɛd>
ban	<bæn>
mid	<mɪd>
fault	<fɔlt>
spite	<spaɪt>
m	<ɛm>
l	<ɛl>
bisque	<bɪsk>
rest	<rɛst>
spic	<spɪk>
tics	<tɪks>
les	<lɛs>
tire	<taɪər>
wain	<weɪn>
wright	<raɪt>
half	<hæf>
way	<weɪ>
deck	<dɛk>
bill	<bɪl>
picked	<pɪkt>
chas	<ʧɑz>
duct	<dəkt>
quan	<kwɔn>
tilt	<tɪlt>
char	<ʧɑr>
born	<bɔrn>
maine	<meɪn>
brown	<braʊn>
urn	<ərn>
seam	<sim>
silk	<sɪlk>
fire	<faɪər>
fly	<flaɪ>
judge	<ʤəʤ>
lib	<lɪb>
guard	<gɑrd>
far	<fɑr>
snug	<snəg>
arch	<ɑrʧ>
front	<frənt>
chat	<ʧæt>
shaw	<ʃɔ>
tet	<tɛt>
teach	<tiʧ>
rus	<rəs>
sad	<sæd>
hunt	<hənt>
king	<kɪŋ>
lake	<leɪk>
take	<teɪk>
ude	<ud>
din	<dɪn>
spire	<spaɪr>
taint	<teɪnt>
hops	<hɑps>
wait	<weɪt>
ress	<rɛs>
beak	<bik>
mate	<meɪt>
flack	<flæk>
arts	<ɑrts>
bee	<bi>
keep	<kip>
knit	<nɪt>
wynn	<wɪn>
heart	<hɑrt>
stretch	<strɛʧ>
id	<ˈaɪˈdi>
dec	<dɛk>
peal	<pil>
part	<pɑrt>
pip	<pɪp>
sick	<sɪk>
gath	<gæθ>
cost	<kɔst>
which	<wɪʧ>
ink	<ɪŋk>
pal	<pæl>
rafe	<reɪf>
mix	<mɪks>
mac	<mæk>
saw	<sɔ>
mill	<mɪl>
vo	<voʊ>
saint	<seɪnt>
pick	<pɪk>
wil	<wɪl>
har	<hɑr>
pools	<pulz>
milt	<mɪlt>
ted	<tɛd>
dress	<drɛs>
hire	<haɪər>
vault	<vɔlt>
cop	<kɑp>
its	<ɪts>
lob	<lɑb>
rob	<rɑb>
bet	<bɛt>
fought	<fɔt>
course	<kɔrs>
bed	<bɛd>
pap	<pæp>
flash	<flæʃ>
sig	<sɪg>
mack	<mæk>
naw	<nɑ>
drink	<drɪŋk>
grape	<greɪp>
fruit	<frut>
health	<hɛlθ>
lea	<li>
doc	<dɑk>
opt	<ɑpt>
door	<dɔr>
jo	<ʤoʊ>
nee	<ni>
rea	<reɪ>
fence	<fɛns>
posed	<poʊzd>
care	<kɛr>
wrench	<rɛnʧ>
doors	<dɔrz>
shades	<ʃeɪdz>
slur	<slər>
quirk	<kwərk>
sher	<ʃər>
dame	<deɪm>
sult	<səlt>
yelp	<jɛlp>
pay	<peɪ>
stair	<stɛr>
ers	<ˈiˈɑˈrɛs>
fil	<fɪl>
lil	<lɪl>
prism	<ˈprɪzəm>
bel	<bɛl>
rang	<ræŋ>
mort	<mɔrt>
gee	<ʤi>
sun	<sən>
gist	<ʤɪst>
shall	<ʃæl>
show	<ʃoʊ>
stamp	<stæmp>
slip	<slɪp>
shield	<ʃild>
vic	<vɪk>
pore	<pɔr>
nan	<næn>
greet	<grit>
weak	<wik>
nies	<naɪz>
crazed	<kreɪzd>
inc	<ɪŋk>
suc	<sək>
horse	<hɔrs>
ker	<kər>
shad	<ʃæd>
owed	<oʊd>
sought	<sɔt>
code	<koʊd>
burse	<bərs>
rout	<raʊt>
volt	<voʊlt>
dew	<du>
trib	<trɪb>
seed	<sid>
drill	<drɪl>
bite	<baɪt>
used	<juzd>
week	<wik>
mused	<mjuzd>
when	<wɪn>
come	<kəm>
jump	<ʤəmp>
port	<pɔrt>
tube	<tub>
park	<pɑrk>
oat	<oʊt>
crunch	<krənʧ>
bulb	<bəlb>
speech	<spiʧ>
ries	<raɪz>
who	<hu>
gorge	<gɔrʤ>
snob	<snɑb>
hur	<hər>
cane	<keɪn>
weed	<wid>
cern	<sərn>
gem	<ʤɛm>
hug	<həg>
ging	<ʤɪŋ>
free	<fri>
troy	<trɔɪ>
pull	<pʊl>
placed	<pleɪst>
clean	<klin>
buds	<bədz>
fairs	<fɛrz>
shore	<ʃɔr>
draw	<drɔ>
nick	<nɪk>
trap	<træp>
blind	<blaɪnd>
n	<ɛn>
v	<vi>
hate	<heɪt>
arm	<ɑrm>
floor	<flɔr>
squall	<skwɔl>
nec	<nɛk>
sar	<sɑr>
vance	<væns>
cress	<krɛs>
gig	<gɪg>
bread	<brɛd>
vet	<vɛt>
sit	<sɪt>
cut	<kət>
hum	<həm>
don	<dɑn>
zone	<zoʊn>
spun	<spən>
drew	<dru>
fleet	<flit>
pease	<piz>
sketch	<skɛʧ>
whip	<wɪp>
shred	<ʃrɛd>
build	<bɪld>
bit	<bɪt>
kay	<keɪ>
yak	<jæk>
sex	<sɛks>
wrap	<ræp>
yam	<jæm>
mag	<mæg>
bug	<bəg>
bound	<baʊnd>
watt	<wɑt>
eye	<aɪ>
brow	<braʊ>
wisp	<wɪsp>
plank	<plæŋk>
tread	<trɛd>
pet	<pɛt>
czar	<zɑr>
sol	<sɑl>
ramp	<ræmp>
worse	<wərs>
pinned	<pɪnd>
skilled	<skɪld>
skim	<skɪm>
dent	<dɛnt>
apt	<æpt>
grant	<grænt>
ruled	<ruld>
cote	<koʊt>
drum	<drəm>
burnt	<bərnt>
dad	<dæd>
bile	<baɪl>
pear	<pɛr>
group	<grup>
check	<ʧɛk>
wert	<wərt>
wren	<rɛn>
lou	<lu>
gang	<gæŋ>
three	<θri>
guest	<gɛst>
plus	<pləs>
boots	<buts>
rap	<ræp>
slain	<sleɪn>
mild	<maɪld>
cur	<kər>
nied	<nid>
herb	<ərb>
sass	<sæs>
ya	<jɑ>
right	<raɪt>
cum	<kəm>
nor	<nɔr>
blip	<blɪp>
hair	<hɛr>
wick	<wɪk>
geon	<ʤiɑn>
stroll	<stroʊl>
dark	<dɑrk>
bang	<bæŋ>
bier	<bir>
chard	<ʧɑrd>
blow	<bloʊ>
rib	<rɪb>
bon	<bɑn>
lish	<lɪʃ>
well	<wɛl>
empt	<ɛmt>
win	<wɪn>
salts	<sɔlts>
laced	<leɪst>
hope	<hoʊp>
through	<θru>
found	<faʊnd>
sleuth	<sluθ>
call	<kɔl>
fee	<fi>
dare	<dɛr>
cian	<ʃin>
taut	<tɔt>
frain	<freɪn>
spend	<spɛnd>
tank	<tæŋk>
throne	<θroʊn>
just	<ʤɪst>
get	<gɪt>
leng	<lɛŋ>
mitch	<mɪʧ>
clot	<klɑt>
aux	<oʊ>
ia	<ˈiə>
beat	<bit>
keen	<kin>
bank	<bæŋk>
roll	<roʊl>
hole	<hoʊl>
broth	<brɔθ>
hom	<hɑm>
ace	<eɪs>
snips	<snɪps>
shit	<ʃɪt>
nance	<næns>
plain	<pleɪn>
bunch	<bənʧ>
ketch	<kɛʧ>
dries	<draɪz>
old	<oʊld>
ledge	<lɛʤ>
nes	<nɛs>
wal	<wɔl>
vert	<vərt>
neer	<nɪr>
rip	<rɪp>
step	<stɛp>
wise	<waɪz>
jinx	<ʤɪŋks>
pock	<pɑk>
jar	<ʤɑr>
proof	<pruf>
tore	<tɔr>
run	<rən>
stam	<stæm>
wilt	<wɪlt>
